Claim_Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault, Vechile_registration_present , Incident_details_present , Injury_details_present , TP_type_insd_pass_back , TP_type_insd_pass_front , TP_type_driver , TP_type_pass_back , TP_type_pass_front , TP_type_bike , TP_type_cyclist , TP_type_pass_multi , TP_type_pedestrian , TP_type_other , TP_type_nk , TP_injury_whiplash , TP_injury_traumatic , TP_injury_fatality , TP_injury_unclear , TP_injury_nk , TP_region_eastang , TP_region_eastmid , TP_region_london , TP_region_north , TP_region_northw , TP_region_outerldn , TP_region_scotland , TP_region_southe , TP_region_southw , TP_region_wales , TP_region_westmid , TP_region_yorkshire ,Incurred,Capped_Incurred
6643,2014-11-27,Other,LD003,Head on collision,98,74,Other,N/A,n/k,0,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1668.90,1668.90
6644,2014-11-27,Other,LD003,Head on collision,2,1,Minor Road,NORMAL,N,21,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,57.05,57.05
6645,2014-11-27,Other,LD003,Head on collision,0,176,Minor Road,WET,N,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6646,2014-11-27,Other,LD003,Head on collision,0,312,Minor Road,WET,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,185.18,185.18
6647,2014-11-27,Other,LD003,Head on collision,0,2,Main Road,WET,N,7,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16170.98,16170.98
6648,2014-11-28,Other,LD003,Head on collision,2,230,Main Road,NORMAL,Y,19,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6649,2014-11-28,Other,LD003,Head on collision,0,211,Main Road,NORMAL,N,7,Y,N, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,438.10,438.10
6650,2014-11-28,Other,LD003,Head on collision,1,63,Minor Road,NORMAL,N,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,228.66,228.66
6651,2014-11-28,Other,LD003,Head on collision,11,20,Main Road,N/K,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,27.39,27.39
6652,2014-11-28,Other,LD003,Head on collision,4,32,Minor Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6653,2014-11-28,Other,LD003,Head on collision,0,62,Minor Road,NORMAL,N,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,299.70,299.70
6654,2014-11-28,Other,LD003,Head on collision,0,86,Main Road,WET,N,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,0.00,0.00
6655,2014-11-29,Other,LD003,Head on collision,0,301,Main Road,NORMAL,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,838.20,838.20
6656,2014-11-30,Other,LD003,Head on collision,9,263,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,6967.31,6967.31
6657,2014-11-30,Other,LD003,Head on collision,1,217,Minor Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6658,2014-11-30,Other,LD003,Head on collision,0,150,Minor Road,"SNOW,ICE,FOG",Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,195.17,195.17
6659,2014-11-30,Other,LD003,Head on collision,2,183,Main Road,NORMAL,n/k,11,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,157.46,157.46
6660,2014-11-30,Other,LD003,Head on collision,0,128,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,27.39,27.39
6661,2014-11-30,Other,LD003,Head on collision,0,135,Minor Road,NORMAL,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,1071.08,1071.08
6662,2014-11-30,Other,LD003,Head on collision,2,222,Main Road,NORMAL,N,19,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,137.65,137.65
6663,2014-11-30,Other,LD003,Head on collision,2,240,Minor Road,WET,Y,10,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1195.11,1195.11
6664,2014-11-30,Other,LD003,Head on collision,6,164,Main Road,NORMAL,N,20,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,25010.46,25010.46
6665,2014-11-30,Other,LD003,Head on collision,169,0,Minor Road,NORMAL,Y,12,Other,N, 1 , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,98501.95,50000.00
6666,2014-11-30,Other,LD003,Head on collision,2,233,Minor Road,NORMAL,Y,20,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6667,2014-11-30,Other,LD003,Head on collision,2,182,Main Road,NORMAL,N,20,N,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1427.01,1427.01
6668,2014-12-01,Other,LD003,Head on collision,1,228,Minor Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6669,2014-12-01,Other,LD003,Head on collision,77,193,Main Road,NORMAL,N,17,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,426.74,426.74
6670,2014-12-01,Other,LD003,Head on collision,0,108,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,1014.99,1014.99
6671,2014-12-02,Other,LD003,Head on collision,0,362,Minor Road,NORMAL,N,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6711.25,6711.25
6672,2014-12-02,Other,LD003,Head on collision,1,36,Minor Road,NORMAL,Y,21,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6673,2014-12-02,Other,LD003,Head on collision,0,211,Main Road,NORMAL,N,11,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,8718.46,8718.46
6674,2014-12-02,Other,LD003,Head on collision,0,301,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2846.88,2846.88
6675,2014-12-02,Other,LD003,Head on collision,1,213,Minor Road,NORMAL,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10836.63,10836.63
6676,2014-12-02,Other,LD003,Head on collision,0,14,Car Park,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,9815.89,9815.89
6677,2014-12-03,Other,LD003,Head on collision,0,1,Minor Road,NORMAL,Y,7,Y,N, 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,7692.85,7692.85
6678,2014-12-03,Other,LD003,Head on collision,0,11,Minor Road,"SNOW,ICE,FOG",N,8,Y,N, 1 , -   , 1 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,14263.69,14263.69
6679,2014-12-03,Other,LD003,Head on collision,2,308,Minor Road,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,637.72,637.72
6680,2014-12-03,Other,LD003,Head on collision,1,199,Minor Road,WET,Y,21,Y,N, 1 , -   , 1 , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   ,565.21,565.21
6681,2014-12-03,Other,LD003,Head on collision,1,343,Main Road,NORMAL,Y,15,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , 1 , 2 , -   , -   , 1 , 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,24920.16,24920.16
6682,2014-12-03,Other,LD003,Head on collision,0,218,Minor Road,NORMAL,N,10,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5014.49,5014.49
6683,2014-12-04,Other,LD003,Head on collision,0,309,Minor Road,WET,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,894.71,894.71
6684,2014-12-04,Other,LD003,Head on collision,6,31,Minor Road,NORMAL,Y,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7066.94,7066.94
6685,2014-12-04,Other,LD003,Head on collision,0,335,Minor Road,NORMAL,Y,18,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6686,2014-12-04,Other,LD003,Head on collision,0,11,Minor Road,NORMAL,Y,11,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,0.00,0.00
6687,2014-12-04,Other,LD003,Head on collision,0,320,Minor Road,WET,N,13,Y,N, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2768.33,2768.33
6688,2014-12-05,Other,LD003,Head on collision,0,181,Minor Road,WET,N,13,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3769.20,3769.20
6689,2014-12-05,Other,LD003,Head on collision,0,206,Main Road,NORMAL,Y,7,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6690,2014-12-05,Other,LD003,Head on collision,0,53,Minor Road,NORMAL,Y,8,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,0.00,0.00
6691,2014-12-05,Other,LD003,Head on collision,0,249,Car Park,NORMAL,Y,1,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6692,2014-12-05,Other,LD003,Head on collision,6,279,Main Road,WET,Y,18,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,745.08,745.08
6693,2014-12-05,Other,LD003,Head on collision,0,95,Minor Road,NORMAL,N,10,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,56.74,56.74
6694,2014-12-05,Other,LD003,Head on collision,0,107,Main Road,WET,N,6,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,13973.61,13973.61
6695,2014-12-05,Other,LD003,Head on collision,4,74,Minor Road,N/K,Y,17,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,26914.41,26914.41
6696,2014-12-05,Other,LD003,Head on collision,0,308,Minor Road,NORMAL,N,8,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12817.16,12817.16
6697,2014-12-05,Other,LD003,Head on collision,0,84,Main Road,WET,N,6,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,819.72,819.72
6698,2014-12-06,Other,LD003,Head on collision,3,192,Main Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5105.43,5105.43
6699,2014-12-06,Other,LD003,Head on collision,0,216,Main Road,NORMAL,N,15,Other,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,31458.23,31458.23
6700,2014-12-06,Other,LD003,Head on collision,3,39,Minor Road,"SNOW,ICE,FOG",Y,10,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1330.43,1330.43
6701,2014-12-06,Other,LD003,Head on collision,0,203,Main Road,NORMAL,Y,10,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4651.65,4651.65
6702,2014-12-06,Other,LD003,Head on collision,0,124,Minor Road,N/A,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22.71,22.71
6703,2014-12-07,Other,LD003,Head on collision,0,261,Minor Road,NORMAL,Y,11,Y,N, 1 , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,88211.91,50000.00
6704,2014-12-07,Other,LD003,Head on collision,0,164,Car Park,WET,Y,14,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,14278.79,14278.79
6705,2014-12-07,Other,LD003,Head on collision,1,87,Car Park,NORMAL,Y,0,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1966.57,1966.57
6706,2014-12-07,Other,LD003,Head on collision,0,358,Minor Road,WET,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2729.31,2729.31
6707,2014-12-08,Other,LD003,Head on collision,1,84,Minor Road,WET,Y,17,Y,N, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6708,2014-12-08,Other,LD003,Head on collision,0,282,Minor Road,NORMAL,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6709,2014-12-08,Other,LD003,Head on collision,3,20,Main Road,NORMAL,N,17,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,341.47,341.47
6710,2014-12-08,Other,LD003,Head on collision,7,19,Minor Road,"SNOW,ICE,FOG",N,9,Other,N, 1 , 1 , -   , -   , -   , 1 , 3 , -   , -   , -   , -   , -   , 1 , -   , 2 , 1 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   ,195989.16,50000.00
6711,2014-12-08,Other,LD003,Head on collision,1,169,Minor Road,NORMAL,N,17,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,156.63,156.63
6712,2014-12-08,Other,LD003,Head on collision,0,227,Car Park,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14780.10,14780.10
6713,2014-12-08,Other,LD003,Head on collision,0,89,Main Road,NORMAL,N,15,N,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13209.89,13209.89
6714,2014-12-08,Other,LD003,Head on collision,30,209,Other,NORMAL,Y,0,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,261.04,261.04
6715,2014-12-08,Other,LD003,Head on collision,0,92,Minor Road,WET,Y,11,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,204.29,204.29
6716,2014-12-09,Other,LD003,Head on collision,0,240,Minor Road,"SNOW,ICE,FOG",Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12643.17,12643.17
6717,2014-12-09,Other,LD003,Head on collision,0,67,Main Road,"SNOW,ICE,FOG",N,8,Y,N, 1 , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,29971.15,29971.15
6718,2014-12-09,Other,LD003,Head on collision,0,95,Main Road,NORMAL,Y,7,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,51090.26,50000.00
6719,2014-12-09,Other,LD003,Head on collision,1,102,Minor Road,NORMAL,Y,12,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,561.49,561.49
6720,2014-12-09,Other,LD003,Head on collision,162,239,Other,N/A,n/k,0,Other,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6721,2014-12-09,Other,LD003,Head on collision,2,140,Main Road,NORMAL,Y,8,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30.28,30.28
6722,2014-12-10,Other,LD003,Head on collision,0,250,Minor Road,WET,Y,9,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6723,2014-12-10,Other,LD003,Head on collision,3,66,Minor Road,WET,Y,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6724,2014-12-11,Other,LD003,Head on collision,0,104,Minor Road,NORMAL,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6725,2014-12-11,Other,LD003,Head on collision,0,91,Minor Road,WET,Y,7,Y,N, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,420.85,420.85
6726,2014-12-11,Other,LD003,Head on collision,1,26,Main Road,WET,N,17,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,0.00,0.00
6727,2014-12-11,Other,LD003,Head on collision,0,338,Minor Road,WET,Y,9,N,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6728,2014-12-11,Other,LD003,Head on collision,0,105,Minor Road,WET,Y,17,Y,N, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
6729,2014-12-11,Other,LD003,Head on collision,0,225,Main Road,WET,Y,16,Y,N, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,133.47,133.47
